Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
20/09/2021,219.6632996,176.7100067,142.0096436,12.61999989,52.61411285,53.64400101,23.67000008,161.6399994
21/09/2021,219.7830811,181.8999939,142.228302,12.81999969,52.50487137,53.63407516,24.45000076,169.2899933
22/09/2021,222.358551,181.5899963,142.7152863,12.84000015,53.13051987,53.71346283,24.04999924,169.9600067
23/09/2021,227.908783,182.7899933,143.3016357,12.92000008,53.65686035,53.62415695,24.29000092,175.1300049
24/09/2021,231.1830139,182.5700073,142.6655884,12.86999989,53.84555054,53.47530746,24.06999969,175.8800049
27/09/2021,229.1965179,186.5200043,140.7872314,12.89999962,54.28250885,53.19746399,24.20999908,174.2599945
28/09/2021,225.16362,184.8500061,139.7238159,12.64000034,53.62706757,52.23492813,23.97999954,168.5800018
29/09/2021,226.2816467,185.4499969,141.1450195,12.68999958,53.12059021,52.55246353,24.29999924,168.0700073
30/09/2021,222.358551,177.75,138.9386902,12.43000031,52.91204071,52.0662384,23.71999931,167.75
01/10/2021,230.0550079,177.6199951,138.720047,12.28999996,53.48803711,52.61200333,23.48999977,173.0099945
04/10/2021,224.3350677,171.8099976,137.934906,11.56999969,53.1007309,52.58223724,22.81999969,164.5
05/10/2021,223.8858643,172.1399994,138.4715881,11.68000031,53.57741547,52.67154312,23.29999924,164.7400055
06/10/2021,226.1119385,166.9700012,140.3201294,11.40999985,53.60720444,53.29669189,23.19000053,167.25
07/10/2021,230.1448517,169.4700012,141.4431763,11.47999954,53.80582428,53.46538544,23.30999947,169.6000061
08/10/2021,229.8653412,171.9700012,140.8567963,11.56000042,53.4383812,53.70353699,23.04999924,169.9700012
11/10/2021,224.7144165,175.1499939,141.4431763,11.98999977,53.0709343,53.81269073,23.31999969,166.6699982
12/10/2021,223.6562805,177.1300049,141.2344513,12.15999985,51.80970383,53.81269073,23.46999931,172.75
13/10/2021,222.0690765,175.7700043,141.5624237,12.05000019,51.89908218,53.82261658,23.12999916,173.5800018
14/10/2021,224.7842712,175.5099945,143.1625061,12.21000004,53.52775955,54.18976974,23.14999962,170.5
15/10/2021,230.5840759,176.2700043,143.5302277,12.39000034,54.08388901,54.06076813,23.31999969,169.1799927
18/10/2021,230.2446747,178.5500031,141.463028,12.31999969,54.09382248,53.52492142,23.18000031,172.3200073
19/10/2021,233.1096344,178.6699982,139.793396,12.28999996,54.82870865,53.7333107,22.94000053,170.7400055
20/10/2021,231.0133209,177.75,140.3400116,12.22999954,54.98760605,54.2096138,22.35000038,169.7599945
21/10/2021,229.8354034,174.0200043,139.3300018,11.97999954,55.61325455,53.93176651,22.12000084,170.5
22/10/2021,230.8236542,173.3999939,140.8300018,12.35000038,49.11841965,54.03100204,22.36000061,166.6399994
25/10/2021,233.4690094,172.2299957,140.8500061,12.93999958,49.06876755,53.81269073,22.05999947,169.2400055
26/10/2021,231.4126282,173.1999969,142.8500061,13.5,47.94657135,54.0508461,22.13999939,171.1399994
27/10/2021,215.4008026,174.0899963,141.8300018,13.22000027,47.55926514,55.09276581,21.94000053,169.1000061
28/10/2021,209.4712372,176.4799957,142.6799927,12.97000027,47.74795532,55.60876465,22.22999954,171.6999969
29/10/2021,211.3978577,176.5700073,142.9900055,12.40999985,48.66159821,55.93622589,22.05999947,170.6600037
01/11/2021,212.0866394,179.9799957,142.6399994,12.19999981,49.207798,55.73776245,22.45999908,174.6000061
02/11/2021,208.7724762,179.6100006,144.0599976,12.06999969,49.51565933,55.66830063,22.15999985,172.8699951
03/11/2021,207.734314,181.0700073,145.0500031,12.17000008,50.04199982,55.85684204,22.26000023,172.8699951
04/11/2021,208.4131012,181.4799957,145.3200073,12.42000008,50.31000137,56.16445541,22.32999992,178.4499969
05/11/2021,216.2892456,179.2799988,146.0399933,12.23999977,50.91999817,56.40260696,22.70999908,201.6199951
08/11/2021,220.1025391,180.4799957,144.9499969,12.18999958,51.54999924,55.89653397,22.79000092,200.3200073
09/11/2021,213.0149994,176.3200073,145.3899994,12.05000019,51.20000076,56.05530167,22.26000023,194.6799927
10/11/2021,215.5599976,177.3600006,146.8200073,12.13000011,50.75999832,56.28353119,21.60000038,192.2200012
11/11/2021,210.4199982,179.0299988,146.3999939,12.22999954,50.52999878,56.30337906,22.36000061,191.6100006
12/11/2021,212.0899963,184.3999939,146.5599976,12.51000023,50.31000137,56.17437744,21.77000046,206.5399933
15/11/2021,212.3000031,184.3899994,147.3999939,12.47000027,50.31999969,56.18429947,21.54000092,207.2100067
16/11/2021,215.1799927,187.4299927,147.1900024,12.27000046,50.61000061,55.78738022,21.57999992,207.0399933
17/11/2021,205.0599976,186.2100067,147.1000061,12.18000031,50.22999954,55.47976303,21.37000084,199.1100006
18/11/2021,203.3300018,184.6499939,147.1199951,12.17000008,49.68000031,54.98361206,21.34000015,204.3300018
19/11/2021,200.8600006,185.9600067,146.8200073,12.13000011,49.52000046,54.70576859,21.39999962,196.4199982
22/11/2021,195.5800018,185.0899963,147.8000031,12.11999989,49.83000183,55.04315186,21.44000053,181.7299957
23/11/2021,198.4900055,185.0599976,149.4400024,12.03999996,49.09999847,55.44999695,21.43000031,178.2700043
24/11/2021,203.25,184.8099976,148.6600037,11.97000027,49.75999832,55.00345993,21.29999924,179.8899994
26/11/2021,197.6499939,179.8300018,147.4700012,11.43000031,48.77999878,53.31653976,20.35000038,173.8600006
29/11/2021,196.2899933,177.4700012,149.0200043,11.31000042,50,54.15999985,20.29999924,180.0800018
30/11/2021,193.7700043,177.8500061,144.5800018,10.89999962,49.20000076,52.45000076,19.95999908,172.5399933
01/12/2021,190.1600037,178.2899933,146.3999939,10.86999989,48.59999847,52.29999924,20.09000015,163.0800018
02/12/2021,198.2899933,183.1600037,147.2599945,11.10000038,49.5,53.06999969,20.77000046,169.6000061
03/12/2021,196.3200073,182.4600067,149.8800049,11.03999996,49.25,53.54000092,21.04000092,166.75
